pipeline_id,execution_time,records_processed,missing_values,duplicate_records,alert_count
10,7.203913394794848,1009,2,3,1
9,1.9224889514494938,3945,1,4,2
7,6.014268979090537,2703,6,1,1
9,4.530681324906874,3334,2,1,0
8,5.287576019851059,1294,0,2,1
2,4.553680731638218,2979,9,4,1
1,6.0872158549602595,2023,2,2,0
7,4.674253758016841,2694,5,1,0
7,2.8961701498886216,3028,2,2,2
8,5.1728508375723825,934,4,4,0
5,4.571650925728999,2538,8,3,0
3,4.833212757742233,2206,6,0,1
8,-1.3756229520802865,568,1,3,2
6,6.365272167137411,2404,0,1,0
3,4.370672765306439,4459,6,3,2
1,2.3036928519634685,3451,3,2,0
3,6.845127033696284,3213,6,4,2
5,6.272731455505861,3869,5,3,0
3,4.345359607450288,4227,6,3,1
1,2.6956612409599625,2904,3,4,2
5,5.356061469358744,3825,2,2,2
10,5.246212169175219,4046,4,0,0
7,6.848668565983564,2803,2,3,2
7,4.112528970279019,4181,2,1,0
9,7.389844269729992,3721,3,2,2
10,3.9194939933284654,4874,7,2,2
10,2.308336430915156,1582,1,3,1
3,2.7354344890454376,945,3,4,1
7,4.875176921728769,2092,2,3,2
1,4.868970981882535,3275,6,3,1
4,5.655722281501552,4316,1,4,2
4,4.819251937763117,3553,0,1,0
5,6.954637032128659,2090,9,4,2
7,4.4778118030748475,2731,0,3,2
7,1.0074474702571679,2061,5,0,1
4,4.757806623068412,4772,2,4,1
7,0.9864426244670375,4146,6,1,0
3,5.542781961995395,3738,7,4,0
6,7.114385997969832,2100,4,4,0
2,3.0275510274349617,2556,4,2,2
10,7.837113372783701,4831,1,2,0
9,6.685662489456862,1209,7,3,0
5,7.412960310830109,3471,9,3,1
6,5.379127712869262,3232,0,4,1
4,3.014469648496359,1293,9,0,0
10,6.561630855628275,3599,8,3,0
7,3.75079818646332,3355,0,4,2
9,5.235769012206711,526,0,4,2
7,4.6572980143927625,3767,0,4,1
1,7.249391713593791,584,6,4,0
1,6.460654011846659,3601,3,4,0
9,4.838868403375258,1622,6,2,0
9,1.0967856129196942,511,4,1,0
4,3.729545066941598,2248,6,1,0
9,6.408444578968834,3609,9,4,2
3,5.560220522093169,2376,6,3,2
7,1.993556131174277,3119,3,0,0
6,1.3868240550622217,679,1,4,2
8,5.391018300314913,1296,7,0,2
9,2.885885664568448,4313,1,2,0
5,3.078407078324846,2524,8,1,2
1,6.345215457565308,3717,4,2,0
3,7.404477560831348,1386,8,3,2
10,3.498595945927403,2968,8,3,0
8,4.910479384775653,3887,7,4,0
6,4.851506668031279,2019,7,3,2
8,4.671591790606967,2932,3,3,2
9,5.081196952312597,1416,3,2,1
4,6.512997855680313,2570,1,0,0
1,3.652151306540809,4476,3,1,0
1,1.949444930967867,2281,3,3,0
10,8.38001986720752,838,5,3,0
4,7.178843848980101,2016,2,2,2
7,2.792724257501204,3370,1,1,2
2,5.271264017551907,4082,7,2,1
3,7.021404329172221,1414,1,0,0
1,6.498087889052078,3790,7,2,1
5,5.924026619858569,1946,6,1,1
1,4.659546216816512,1879,2,1,1
8,8.454607850123915,1983,5,3,1
1,5.44171774491892,2574,5,0,1
1,3.970081481358619,1300,9,4,2
2,6.7421514576911905,1746,4,3,2
2,5.19211728390284,3237,7,2,1
6,5.699595454507245,3995,4,2,2
7,5.406298403182415,3757,6,1,2
5,5.99355114753382,4377,5,1,1
1,3.043087493201586,1481,6,1,2
1,2.0977872256599834,2976,8,4,2
3,7.868265446467168,2588,2,4,0
2,5.499169123578339,3452,9,3,1
5,6.541694554817157,1511,6,4,0
10,1.4804815596447476,3964,9,1,0
6,7.133366217429005,3250,2,3,1
7,3.9570287092884646,2626,1,3,0
4,3.387563666381911,4361,6,0,0
7,4.873253664736027,3091,3,4,2
8,3.0440395789149504,1973,0,2,0
1,4.996536603548786,3021,5,2,1
6,4.727323305971027,1665,5,0,2
8,7.120791810467765,3822,5,1,2
5,8.02668900427894,1109,1,0,2
4,7.963031585683167,2683,0,1,1
2,0.4709700412077673,3031,2,4,1
6,3.1296663403134297,3361,1,4,1
6,0.4502264723552756,2155,5,3,0
1,2.6129154511299384,2255,5,3,0
9,3.7009635781923373,545,4,3,2
6,5.821123230453887,1759,9,3,2
3,3.960133531014919,3732,9,2,1
4,4.015859858102709,1951,4,3,1
4,5.3635293663995265,2618,8,3,0
3,1.5813807095843782,3067,4,3,0
10,3.3228136940722726,2492,9,1,1
3,3.9928867483652546,3623,5,3,1
3,4.595196022737312,2840,3,0,0
4,5.15390798045109,1988,9,3,2
7,8.001299579466084,2073,0,3,2
4,6.816672322162189,2927,3,2,0
9,3.4613799510161307,2266,1,3,0
1,4.477341881097065,4049,9,1,2
8,4.3411217258157535,2809,2,4,0
7,3.9716949669585127,2904,6,3,2
2,5.545031651641819,1942,6,3,2
8,1.2804408940581835,2476,0,3,0
1,6.761428776012968,4473,7,2,1
9,8.387101581430711,2990,6,4,1
9,4.460318918656366,1225,0,2,1
2,4.421271149764342,4303,7,2,1
7,5.3140884944173425,4881,1,2,1
10,7.0387719539204205,4327,7,1,1
3,4.351412566365515,4119,2,4,1
7,6.867890332203473,3387,9,1,0
10,5.976989344906485,997,6,1,0
9,9.723222888009381,4476,5,4,1
4,4.342675969675408,1204,4,1,0
1,1.0479991045583326,4627,9,4,2
2,2.134121758628972,4181,1,3,1
1,5.023856474800314,4638,1,2,2
5,7.055764188041503,2416,0,1,0
5,3.6949817191585526,1874,8,4,1
7,4.53813510024934,2345,7,0,2
9,6.369685474663151,1936,7,1,0
9,3.069534798243085,3590,0,1,1
3,3.777461201610364,1870,4,4,1
3,2.6645466247794785,2428,5,0,2
3,7.356456185765124,2136,1,0,2
4,8.083345623592734,591,9,3,2
8,1.8411700210138795,2343,4,1,0
6,4.715629002023554,684,5,2,2
8,7.81451795012989,2071,8,1,2
1,5.797390367244476,1331,9,2,2
8,4.021521534001811,4940,0,2,1
4,1.9076757607782024,2625,9,4,2
1,7.305889103645729,4762,2,1,2
8,5.7210304298889945,763,8,4,0
4,2.054027224516489,1786,0,3,0
6,7.379782107749982,2029,0,2,2
8,1.7991928764842604,2308,0,0,0
4,4.559027691665177,2377,6,2,0
3,4.470770593255741,2249,4,3,0
9,8.236762657695671,2409,5,2,1
3,4.477907616239695,3123,7,4,2
9,4.47071462739855,1697,1,1,2
2,2.2738433102046125,2978,1,0,2
2,3.7192046418827887,3010,2,4,0
2,3.365409078238715,600,2,1,0
6,3.4695552679906143,3587,2,0,0
3,5.012569049783746,2419,3,3,1
9,0.13164722831481512,2791,2,2,0
4,1.9795395091662047,3820,1,0,1
1,4.777962252785691,604,8,3,2
4,5.242509366207863,1193,5,1,0
1,4.533134402712209,3740,2,0,1
5,4.918411020430078,3991,8,3,1
4,4.181766772689497,3892,3,1,0
8,4.9629907935406745,2768,3,4,1
8,5.868284440524432,4283,7,2,0
7,5.854267457375322,4012,6,3,1
3,3.6220831770830086,1389,6,4,2
1,6.830189479165901,1289,9,1,2
1,5.314217389006639,1158,6,0,2
3,7.464427912679538,1518,9,2,0
6,7.8657448625341635,2453,4,1,2
7,2.114546557253508,1690,6,3,2
6,3.281944922262582,4206,3,2,2
6,6.627096079941101,4157,7,4,0
6,1.670215159742105,2796,8,2,1
3,7.840353925386747,1274,2,4,0
6,4.312235610374675,3311,6,1,0
8,6.1500660702180365,1880,9,0,2
2,4.767218674278447,3682,8,2,1
5,2.215220944432626,4829,0,0,2
1,7.11108920426395,3597,1,0,2
1,10.50144606107466,1904,6,2,0
5,3.9699834472886164,4301,1,2,0
3,4.355282898309515,1869,6,0,0
4,-0.29819908653411886,2564,0,3,2
3,7.703005806912242,2792,2,3,1
1,6.823530645684006,3265,4,2,1
1,1.5332322758901715,3317,5,0,2
5,0.8702290759062272,1216,8,0,1
6,1.1015374336694697,4540,8,1,2
3,6.290338250745636,2211,2,0,1
9,6.489982839228165,1725,7,3,2
5,3.1533321112624235,508,3,1,1
8,5.998520062765596,1097,6,3,0
1,5.317754241982305,4618,5,4,0
5,4.265460586291563,2108,7,2,0
3,6.9403936533706,3531,5,4,0
1,2.590128797543923,4167,3,2,2
4,7.29507842718779,2746,1,3,1
5,3.5429568919712944,4126,6,3,2
7,8.56307336393409,4571,3,4,0
1,2.989387953037067,3322,8,2,1
3,4.296855842799746,591,8,2,2
2,5.1171742750847065,1350,6,1,0
9,5.104637095644966,1607,4,0,1
10,5.981657001236191,799,2,1,1
6,2.4286351635066454,2843,2,3,0
10,4.92537518350673,1977,8,4,0
3,5.2762634128054415,1582,8,2,1
8,3.9445235519437465,3456,3,1,0
8,5.808117234918836,3418,0,4,2
2,2.307260173024438,1865,9,4,0
6,4.347092221898633,3300,4,0,0
7,3.493631751192668,4036,7,2,0
2,4.353138140901962,4451,9,4,1
10,7.894070919842406,2609,3,2,1
2,7.9329114523148005,1275,9,1,0
10,7.5408329211624405,1952,9,4,1
1,4.075485439838297,2181,3,4,0
8,6.815236553600414,2803,8,1,2
1,5.224724253851608,2351,8,2,1
9,5.091179407006017,2397,6,2,0
6,4.8452773047616615,3918,9,4,1
7,8.516835714758251,4097,7,1,2
10,7.7316772111129275,1827,3,3,2
7,6.489792836894194,1114,7,2,0
10,4.659398068978747,744,5,3,1
3,5.079121516509124,1256,2,4,2
2,6.061133209075469,1323,6,3,1
9,3.9567821762919553,3327,2,3,0
8,6.876631431929008,4307,6,2,2
10,3.157509777114187,3279,4,4,2
7,5.783687375994811,2346,3,3,1
9,0.4205689004147404,1740,2,2,2
4,3.89876294679574,973,7,3,0
4,9.155354265838888,4631,3,2,0
1,7.072382988783822,3749,7,4,2
8,8.070936899869048,2292,9,1,0
3,3.665384665291236,2234,2,2,2
7,5.2075456736008725,4442,9,2,2
2,7.563984506188609,1444,8,3,2
2,6.266189869410754,2011,5,4,2
7,6.0171317547166385,4581,4,0,1
6,8.261163940660126,1358,4,0,2
3,2.9190900687721437,4060,2,1,0
9,4.631523921108994,729,1,4,1
10,1.4918288746612913,2917,5,2,0
6,2.8097878961287974,677,0,0,2
10,7.148370784357942,4428,6,1,0
10,3.165301467615753,3115,4,4,1
6,6.4710485082501945,2113,3,1,0
1,8.31697008393616,3340,8,0,1
4,4.644123650016123,3447,9,3,2
10,6.039726879599625,2274,0,3,2
6,6.48662425908584,4371,3,4,0
6,2.5570098738668694,581,2,1,0
5,3.767095309397906,1345,5,2,2
1,2.9926775766563956,3309,4,0,2
8,3.9265537798339425,1716,6,3,0
5,6.432221396162198,3760,0,3,2
5,3.8096065381154167,3645,4,1,1
7,4.929693546136366,2763,1,3,1
4,2.915076766137529,2837,1,1,0
6,7.452844329067404,944,1,0,0
4,3.9097800195533257,1422,8,1,2
3,8.04596110381991,4788,9,3,2
7,5.12185818769872,4884,2,1,1
8,2.1860008440738414,3130,3,3,0
4,4.657946506908751,1667,4,4,0
2,2.874446345067671,4463,3,3,0
10,6.178698754756305,3941,3,3,0
3,4.477274435346267,4012,4,3,1
1,5.326420510054708,1395,9,4,1
8,4.261293779906874,4222,8,2,0
3,3.889315392273349,2560,8,3,1
10,3.0527559807687457,3534,5,2,0
7,6.672445873643059,2887,2,0,1
10,4.653693796400605,2397,5,1,2
5,4.370618212603232,2299,9,2,1
10,4.60357220311568,4907,3,0,0
5,3.642276413028451,3280,2,1,2
7,4.377297146447949,1627,5,3,0
9,5.411259629386976,838,5,3,2
5,2.93172600188647,4954,1,3,2
1,3.2212960138415845,1672,8,4,1
10,7.756568187245348,3308,7,4,1
10,4.274486934400888,3529,5,4,2
1,3.8968783821519803,2589,0,4,2
2,2.312256788881449,4797,1,0,2
6,6.701355274948479,3517,3,0,0
9,2.8881483729783133,948,6,3,1
8,4.969414678077084,1293,8,1,0
5,1.583629861366819,936,9,4,1
1,6.636345600728233,2120,4,1,0
7,7.3537124872371615,4001,9,0,1
5,5.969040690956031,3419,1,4,2
6,1.9310397371894066,4808,0,0,2
7,6.6775242878184615,1448,9,0,1
3,3.345302000719295,4444,0,2,2
10,2.6580562425567753,1627,4,0,2
3,4.2330779084846935,691,6,3,0
5,4.193264653307021,4512,8,0,1
6,3.9899026976394207,4260,8,4,2
9,7.547348495809388,4230,7,3,1
5,9.023651992885252,1903,0,0,0
1,2.261726925301071,2490,4,3,1
4,3.622335211350819,1604,5,0,0
5,5.285496672089914,1048,5,3,0
10,4.222567018125545,3948,3,1,0
10,5.7987974985570325,2361,0,2,2
5,6.83197071189159,4749,2,3,0
7,6.498731884540082,1070,9,4,1
4,6.219467135699664,2284,3,2,1
1,8.318191041839446,2787,3,2,2
5,1.822105434167781,2921,3,0,2
7,7.96021758390923,4472,4,3,0
10,4.174016731820513,1304,8,2,0
10,6.570250441351254,1298,3,4,0
6,2.940667543441113,3775,8,4,2
5,3.1830072162134444,1110,8,4,2
4,6.3242345829640545,2306,0,0,1
2,1.1425399545003088,4738,4,1,0
4,6.978884156576625,3760,8,3,0
10,7.519927004683176,4867,3,2,1
10,5.35556970765792,3871,4,3,1
3,5.2835220711571145,2973,3,2,1
10,3.3327277101830957,2593,1,0,1
1,6.3488988048073365,2642,9,3,0
8,5.695330492814852,4501,1,0,2
5,3.1569892079523543,3580,1,0,0
4,4.217040099823616,1932,0,3,1
8,4.681329150608393,3017,2,3,2
7,4.2143956069616255,3357,9,2,0
2,2.27417717330005,1005,0,4,1
1,6.398040617167791,1596,3,0,2
4,4.512979088196211,4679,0,1,2
8,5.030729551786619,4654,3,2,2
2,3.8434668252051467,1544,2,2,0
3,5.95054294794398,2704,8,4,1
1,5.397392368762807,4402,0,4,0
1,7.425568778260837,1852,7,0,0
3,5.961197425877969,2096,8,2,0
5,4.594631196325778,1075,6,2,2
3,3.5205663649948793,1179,0,1,1
1,6.73190536783329,4798,3,0,0
1,4.434847802427084,4212,9,0,1
8,4.6565648668075585,4328,0,4,2
10,4.65605678741465,1629,3,0,0
2,4.196784578685741,4404,2,1,1
3,4.690922011540261,3693,1,0,2
2,8.852415125465155,817,0,3,0
3,2.9043558917446157,4196,5,3,0
7,3.37099157847678,3496,6,1,1
1,7.7686488363085,4094,5,4,1
10,4.250391231009857,3709,8,2,0
8,4.09875743185021,3042,8,0,0
10,7.069727713546868,1178,1,4,2
10,2.1596087654364977,2389,1,4,2
10,6.642908858506811,2143,8,0,0
2,5.091232858643088,1334,0,2,1
3,5.929604261663955,2741,4,0,1
9,5.8920619105042515,2855,0,2,0
7,3.7440348270347243,2168,6,1,2
4,7.102367560299813,3053,8,2,0
10,3.8997245770438616,780,5,4,1
5,5.817698037997483,3262,1,1,0
2,7.475448971058272,1746,5,3,0
8,7.757803399692939,2272,8,1,2
4,4.465747328118615,2664,2,2,1
9,5.926270548482021,691,8,1,1
5,4.281022419592761,3335,7,1,0
9,10.007592454537548,3165,6,3,1
4,6.560252011747637,3063,7,2,1
10,5.168116871673871,806,9,4,1
5,5.625124346915485,1031,5,1,1
9,5.814210830892135,4717,2,0,2
8,5.873487081566964,3196,6,4,2
3,4.520003564706886,558,3,1,2
1,4.21134540152965,2073,9,4,2
3,4.696293276547014,1640,4,0,2
4,2.720616589905585,2310,7,4,1
2,6.43654881394892,3698,6,4,0
1,3.3965899147020546,3976,6,0,0
7,2.8800998420305666,4994,7,0,2
8,4.971291066871703,3062,9,0,1
7,4.739754740620227,3352,2,3,2
5,5.499268951577977,1441,2,0,0
1,3.8635892612071805,2274,1,4,1
7,4.214914883538053,1921,0,0,1
7,6.384239010176982,935,9,1,1
9,6.262434400990387,1339,5,0,0
3,6.179050092353356,4501,5,0,0
9,5.067935224702965,4955,9,2,2
1,5.33784524666455,3181,7,4,2
1,5.4608777754210065,2150,5,4,0
4,3.687916520382047,1745,5,1,2
9,7.9480932002922025,2761,0,3,0
6,7.663176064975399,1415,6,2,1
3,6.588491182001935,3139,6,1,2
1,4.1482768271968045,4389,9,1,0
4,6.078288235900301,4981,8,4,0
9,6.956739875539544,1826,6,2,0
3,2.5536061965577135,3858,7,4,2
9,8.389023523396995,2085,3,3,2
7,1.5212247776884098,3868,8,4,1
4,6.40921163941815,888,0,0,2
3,7.906564612504939,3291,7,4,2
10,4.773873071945938,3832,2,0,2
5,4.6990712003538535,1203,0,1,1
5,6.335321585293847,3320,1,3,1
3,8.703763783867744,1559,5,0,1
9,4.437864724117268,4674,4,3,2
4,3.4380896162681105,1798,2,4,0
5,4.1524490887840155,1801,8,4,2
4,1.8949720154275593,1173,7,1,1
5,6.795515797430311,2859,2,4,2
7,3.971833894572281,4799,1,0,2
9,4.583321691868889,4612,7,1,0
7,6.819242262838013,4082,4,3,0
5,4.246179351180302,1516,8,1,2
10,6.518180790776794,709,0,3,1
10,2.9238229923674264,998,9,2,2
7,6.917438856647996,928,2,0,2
10,5.683810042530941,4139,4,0,2
5,4.822841938360663,3651,1,3,1
3,5.261786975887591,2605,2,4,1
7,2.426477410694527,2053,3,4,1
2,5.21600148789394,3706,3,2,1
9,4.716660429286792,3069,8,3,1
10,2.481134779124873,3128,0,2,2
10,3.657849146186912,2376,8,3,1
1,4.741509484094964,1567,8,2,2
6,3.785415630104317,2006,5,3,2
7,0.175772189899166,3513,0,0,2
8,7.152775079217732,2167,5,2,0
10,4.715820249820669,4566,7,2,1
9,0.45209958152690977,1447,4,3,1
2,9.26992587935879,4889,4,1,2
10,7.482784662626377,1671,0,1,0
2,4.3020358978633295,671,0,0,1
5,3.315005017266598,1643,7,4,2
5,5.806382421521044,2359,4,4,0
6,5.404653629768283,2688,7,0,2
3,6.084179849600747,2993,9,4,0
8,3.320759453489903,4077,1,3,2
1,7.195544041943267,688,3,1,1
6,4.053075753648901,4576,9,0,2
4,6.361531497311134,657,8,3,2
1,3.406121479085952,3217,2,0,0
7,10.296287971506974,2470,5,1,0
9,6.391046697930516,745,6,4,1
4,10.768464553147293,3403,2,3,2
4,6.6552039526520925,3295,0,1,0
6,3.877071286262632,4324,1,0,1
3,6.658761587178392,2877,9,2,1
6,6.801155636386433,1349,6,3,0
7,5.746648288995525,2310,6,0,0
10,6.260784944064113,4486,0,0,2
10,6.5234542588153515,2626,9,1,1
3,3.0126379784685167,4764,6,0,0
7,2.8702831905400954,3530,9,3,1
3,3.411566002771133,2807,5,3,2
2,5.25508478874102,3576,5,0,0
10,4.55365765705316,2844,6,1,1
4,3.0488588681541025,1119,6,3,0
8,6.550628421039294,3402,0,2,2
9,5.56608964027296,2907,9,4,2
7,5.337857982741708,4952,4,1,2
1,4.484021389652129,3504,7,1,2
3,4.243543795268854,4414,7,4,0
9,3.317337676382047,2986,2,4,0
1,6.867480585074675,3902,2,3,1
9,3.5930142366936266,4096,6,0,1
8,5.418780933385634,2177,3,0,0
1,8.324020792544067,4539,5,2,0
6,4.335484510621299,1804,8,0,1
5,6.921404281438389,4593,9,2,0
6,6.137418032071346,2463,1,2,2
10,5.622935126522107,3807,1,1,2
5,5.8606968838095055,1861,5,1,2
6,4.810186861458139,4794,2,3,1
5,5.069551937586881,2287,0,4,0
5,3.903772103548551,1573,1,4,1
4,5.082914242268178,1665,6,2,1
3,3.829548008433006,4099,3,4,0
3,7.011310186153194,3217,1,2,1
4,1.6010051426431118,3653,7,4,2
9,5.962106582250964,4626,3,3,0
2,5.67317340284456,3555,3,1,2
9,5.492031928352067,1159,1,1,2
1,7.048997897730973,3082,0,2,0
1,4.427752819914105,1629,0,4,2
5,5.510867689144099,2774,2,0,2
6,1.5669162236270942,4966,5,3,2
6,4.169366235729553,1968,6,4,0
3,6.7114728623504485,2602,8,0,0
7,2.3216765289270365,3766,4,3,0
9,5.31948673410149,2971,8,3,1
10,3.644965856232406,1651,7,1,2
8,4.77802605645653,592,0,2,1
6,3.7646450224768055,3066,2,4,1
8,2.505608791413139,1781,7,3,2
5,5.772006629919602,3400,8,4,0
8,4.900806475950508,3299,3,3,1
10,6.225258239374399,3677,5,1,0
4,6.588875815997722,3104,3,2,0
10,7.45051747417803,4381,8,0,2
8,5.26697349088533,2913,1,0,1
10,7.537242049206417,2044,5,1,1
2,3.0484509852180914,4030,2,3,0
5,6.817919658456263,3146,9,1,2
9,5.918780832655707,2558,3,2,1
4,5.466185305029574,1645,1,0,0
6,5.889464468326235,1410,7,4,0
1,3.078522243329076,3806,9,0,0
9,2.6065063801499546,2066,7,2,2
1,8.419656372153996,2895,0,3,2
5,4.66255564360546,3505,9,1,0
4,4.634013156386599,4748,5,0,0
3,2.7953810515174164,591,0,0,2
6,2.036443389006326,4492,5,4,0
2,4.823362242375436,830,6,1,0
3,4.316824156982544,1454,1,4,2
5,5.003468713484902,4280,8,4,0
9,5.174307880764349,3101,7,3,0
2,9.978922162521387,3477,8,0,0
10,4.322840038522091,4789,9,1,2
8,8.159880215886893,1029,3,3,2
2,8.28404843008989,3392,3,3,2
5,6.507248570543968,1766,7,3,1
7,4.529747334901777,1973,0,2,1
8,2.2770553277345416,2097,7,2,1
1,5.955887754667813,3025,6,3,1
6,7.037624159401888,4261,6,2,2
1,8.495374928565969,3242,8,1,0
2,3.100084091506436,4925,9,0,2
1,4.5129472216294655,969,6,1,1
5,3.1122708191543063,4330,1,0,2
10,3.733044015126155,1033,0,2,0
9,6.328775068471254,4555,0,1,1
6,3.6413904612685286,4179,6,4,0
1,3.351457645365981,4587,4,3,0
1,6.593991727444549,1261,3,0,0
2,5.901477580087094,1390,4,0,1
9,5.7000223958703495,2855,9,4,2
3,3.6942252836018685,2455,9,4,1
1,7.5860465564294035,3471,5,3,1
5,5.028980394639582,2172,9,2,2
7,9.760380277509539,3336,5,1,2
6,5.322332338940089,4144,0,1,2
1,0.33330431630567947,2797,1,1,2
5,0.24424893044626206,4561,2,2,0
5,6.247899883690938,3666,3,3,1
6,7.600988304661611,1819,5,1,1
3,3.4323437401523007,683,8,0,1
5,9.201957545554302,1783,1,0,2
7,8.325997873988207,3346,7,0,1
5,5.421093526882296,2733,8,4,0
5,6.0789078847122635,4588,1,4,1
5,6.789060434777033,1932,8,2,1
10,8.77998979464103,3640,6,1,0
10,6.364271933491162,2296,8,4,0
3,5.375863304542298,2555,5,0,1
1,6.344602395173298,3836,1,4,2
5,6.0747205628984515,1282,7,0,2
9,6.848820374549987,2007,9,1,1
1,1.8599534138409268,4354,8,2,1
3,5.63170689989491,1176,7,3,1
4,5.920881015159472,2330,1,3,1
1,4.854305665895656,4590,7,0,2
1,6.568332888435117,4806,2,4,1
8,8.842335241138082,1860,2,4,0
2,5.2764342622088805,3186,8,0,2
8,6.38344216141538,690,8,1,2
7,8.212529520903107,1342,8,0,0
10,5.323129011883711,834,3,1,1
10,3.223073595282382,1610,6,2,1
2,6.231557698175848,1078,7,2,1
6,0.5966677264038482,561,4,0,1
6,0.4032659240746401,886,0,2,1
3,5.666024094232516,1669,8,4,0
2,0.31005923383626754,2700,5,1,1
1,2.369664515143618,2183,2,3,0
6,4.239802872979355,986,2,3,0
5,3.557167300508227,4232,9,2,0
9,4.704386992905764,1040,0,1,1
1,7.225740281536994,2560,7,4,1
7,5.4769616227278615,4746,1,3,2
5,3.3213591964410814,1738,0,4,2
5,7.708882145568552,1490,6,4,0
2,2.142285526911618,4967,8,3,2
3,5.443767017544199,2799,5,3,0
7,1.9198280499765912,4407,7,2,2
6,5.504635811461078,4788,7,1,1
2,4.362745192214804,1580,8,0,1
6,7.164475823052736,697,6,1,0
2,6.441378942388459,2694,8,0,0
2,3.825721336016674,2098,8,3,1
2,3.4421207183675175,2100,0,4,1
3,4.3698065339357814,4192,5,1,1
2,8.751142920068679,4365,7,4,2
4,8.238136962216162,1183,9,1,2
9,3.0634636292626984,3583,8,1,2
6,6.600450676002696,4489,3,4,2
1,1.5371371422054687,832,1,2,0
8,4.10531507788527,2271,8,3,0
7,3.1448712942750827,4700,8,2,2
10,7.138558915144882,3221,7,2,0
3,2.418564960423176,1306,2,1,2
1,5.858700470844944,1564,4,3,2
5,5.0014202431319275,1388,1,1,1
4,4.6491023405409795,3423,2,0,2
10,8.343165901488796,820,0,1,0
8,8.519394384668622,4457,3,4,2
1,4.711214363094057,2882,4,1,1
10,4.308167398800012,3731,1,0,0
1,1.9862533623936662,2811,2,1,1
4,4.99148202552158,4101,5,0,2
