pipeline_id,execution_time,records_processed,missing_values,duplicate_records,alert_count,failure
9,80.48,2750,94,56,3,0
8,114.16,8956,30,75,2,0
5,133.24,7845,5,23,3,0
10,19.03,2059,2,41,4,0
10,73.86,9798,37,27,3,0
3,91.24,6555,41,33,7,0
4,130.14,3378,38,2,3,0
6,44.07,6241,90,11,6,0
4,134.63,8616,45,70,4,0
1,130.14,10222,78,52,10,1
2,61.78,1549,43,51,5,0
7,100.92,4181,95,45,4,1
9,30.19,10883,24,48,6,0
5,14.25,4392,76,58,0,0
8,110.27,2830,81,41,5,1
1,140.02,9881,20,57,8,0
9,105.85,9965,94,14,6,0
4,10.52,3048,15,79,5,0
2,102.71,6615,58,46,6,0
4,78.45,6521,54,47,8,0
7,34.94,4893,87,5,9,0
6,46.42,4578,56,57,2,0
2,48.76,9308,86,61,4,0
10,46.12,10205,18,60,4,0
4,95.89,4865,3,16,4,0
5,98.32,9989,62,64,10,0
5,142.13,7989,79,28,4,0
6,17.49,4495,85,50,8,1
5,116.59,6927,18,65,9,0
9,116.59,11116,29,29,1,0
6,69.68,1709,12,20,6,0
8,39.46,8531,50,21,8,0
7,69.84,4490,74,15,9,0
3,19.01,1302,46,2,2,0
8,32.83,9074,37,64,4,0
2,25.21,10338,46,16,0,0
9,55.28,7727,12,56,2,0
4,21.31,9190,62,9,5,0
2,12.77,6335,20,31,0,0
8,35.19,7610,53,9,8,1
10,78.99,7667,19,75,6,0
7,104.01,6783,26,74,5,0
9,93.72,4177,25,46,0,0
3,31.03,1397,97,8,10,0
1,13.23,6893,16,70,4,0
10,28.09,4354,84,72,7,1
5,133.91,7295,8,67,1,0
10,24.36,8920,77,56,9,1
4,146.34,10467,97,6,1,0
8,97.93,9580,32,77,5,0
4,21.17,2937,78,11,10,0
7,87.58,7656,47,80,10,0
5,17.95,8184,10,55,9,1
1,123.32,1900,11,45,6,1
9,98.47,3131,10,66,1,0
2,96.7,7632,14,45,10,0
2,129.33,2135,10,41,9,1
5,124.97,6838,55,47,3,0
5,45.86,4545,66,79,7,0
7,128.55,10981,25,10,8,0
10,83.02,6611,70,18,8,0
7,142.82,1220,15,26,3,0
5,92.22,7121,72,24,4,0
9,23.28,5715,78,51,7,0
8,91.84,5346,16,19,9,0
5,73.63,7767,41,27,5,0
6,92.45,5449,90,5,6,0
8,59.72,9864,57,68,1,0
10,62.94,1907,29,22,9,0
10,59.94,10783,24,45,7,0
2,49.37,11631,47,72,6,0
4,27.14,7028,0,63,9,0
4,100.44,2062,31,70,7,1
10,78.21,4049,41,36,4,0
9,33.28,10617,93,70,10,0
5,73.73,4548,27,39,2,0
3,15.47,9451,62,35,6,0
4,89.1,6028,86,53,10,0
9,105.42,8436,33,80,0,1
2,93.51,4584,59,54,1,0
9,31.37,4961,94,3,6,0
6,99.45,9338,38,26,1,0
8,121.78,11253,15,79,0,0
10,110.23,3416,64,62,4,1
6,89.88,5883,41,79,2,0
4,41.2,11452,47,29,3,0
1,36.72,4049,10,54,9,0
3,77.62,8460,74,76,10,0
2,108.07,9502,50,2,10,1
2,86.48,5929,26,74,4,0
5,67.22,5841,30,77,8,0
2,90.7,3117,84,21,7,0
4,130.84,9604,22,70,10,0
6,82.67,10101,78,28,7,0
8,32.49,1272,85,56,5,0
2,124.92,7424,68,54,9,1
7,115.7,5910,93,24,6,0
2,111.78,10172,43,17,1,0
6,10.6,6925,71,18,9,0
2,119.6,3556,58,37,8,1
5,59.65,9584,65,54,9,0
3,54.04,9710,35,7,7,0
5,50.57,10581,56,4,10,0
2,111.96,11820,68,62,8,1
6,50.38,2590,76,11,10,0
10,70.25,6739,25,59,3,0
5,38.17,5792,51,3,1,0
1,115.03,10320,32,14,3,0
7,55.91,9247,93,51,9,0
8,107.9,9198,34,21,4,0
3,37.57,3159,79,34,10,1
3,63.96,7208,82,25,6,0
9,84.03,1254,73,50,8,0
1,34.68,11254,80,79,4,0
7,148.67,8240,81,46,0,1
7,102.84,6010,66,30,0,0
2,49.6,7549,60,14,8,1
4,80.77,4730,96,76,0,0
10,81.55,11339,74,20,5,0
6,81.25,1369,94,29,2,0
5,94.93,11035,67,25,6,0
4,22.25,2236,10,60,0,0
10,21.77,2202,36,7,4,0
9,65.96,10550,94,49,6,0
6,142.48,3599,0,32,6,0
9,131.35,3691,91,57,0,0
6,69.42,9106,17,10,5,0
5,128.4,7635,63,40,10,0
8,92.51,10169,29,26,3,0
4,111.21,10667,59,3,0,0
2,133.72,8338,13,48,0,0
2,53.0,9646,58,64,2,0
9,60.17,10109,52,73,2,1
6,10.1,1267,9,29,3,0
7,23.06,7249,75,24,6,0
3,56.18,1310,4,64,2,0
9,20.93,8519,72,28,7,0
6,51.13,1664,1,9,6,0
10,75.68,5049,82,43,2,0
10,81.11,3237,29,70,7,0
9,29.5,7016,20,55,5,0
9,99.39,1097,19,24,8,0
4,114.03,11820,4,5,3,0
6,127.27,11868,91,68,4,1
1,112.64,2933,62,33,1,0
7,37.65,8940,46,47,10,0
5,44.01,9333,95,4,5,0
5,37.97,10170,65,53,5,0
5,145.25,4314,45,74,6,1
6,116.85,6175,66,80,3,1
9,90.09,6375,98,4,6,0
4,110.83,7336,64,34,4,0
4,135.14,7884,13,24,0,0
10,91.41,4699,55,9,8,0
10,71.16,9982,57,80,9,0
4,128.8,1057,96,24,3,0
6,32.22,4194,56,73,7,0
4,87.15,8175,88,42,6,0
6,39.05,1662,39,50,4,0
6,72.4,5894,97,13,2,0
7,54.0,9089,18,9,1,0
3,90.41,11398,1,1,1,0
10,49.98,5234,0,19,10,0
6,141.35,7459,1,2,6,0
2,21.05,4796,24,17,8,0
6,40.85,3847,44,67,9,0
10,15.2,4712,68,3,6,0
10,49.33,7705,79,12,1,0
4,12.64,2180,63,40,3,0
9,81.87,6735,19,6,3,0
8,22.71,2511,12,57,1,1
7,46.33,2579,2,63,0,0
3,144.9,3188,71,61,5,0
4,54.25,9844,97,17,7,0
8,140.3,6401,21,69,7,0
6,25.87,10271,61,50,0,0
2,46.54,7169,57,61,3,0
7,66.17,9228,9,77,2,0
4,139.76,11417,85,0,8,1
4,120.19,9106,41,43,0,0
3,120.17,3424,55,30,0,0
6,73.2,6897,38,60,6,0
4,66.71,3046,78,11,0,0
9,43.55,1363,87,58,0,0
1,94.12,6422,67,75,1,0
3,109.15,3062,58,10,3,1
2,17.3,11981,39,71,7,0
4,133.37,11357,32,28,5,0
5,132.65,8964,48,17,6,0
9,34.96,10014,79,75,7,0
1,36.37,1707,39,73,4,0
4,101.69,9816,95,63,9,1
7,138.83,11518,49,31,2,0
1,116.99,3305,99,73,6,0
1,66.03,4594,43,75,4,0
4,62.67,7949,81,2,6,0
3,119.76,7622,91,52,7,0
6,21.43,4516,31,31,10,0
4,23.11,6005,4,39,2,0
7,125.85,10122,61,58,10,0
7,84.27,8220,30,64,2,0
6,52.35,2820,52,1,7,0
6,35.92,2290,98,47,0,0
9,41.38,4661,69,48,3,0
10,41.84,8760,90,55,5,0
8,44.91,7576,10,69,9,0
2,73.38,3142,83,78,5,0
3,142.47,2649,36,37,8,0
1,65.97,7779,75,32,8,0
2,43.5,7124,10,32,2,0
9,142.76,3976,60,38,5,0
8,118.18,8836,65,65,10,1
2,110.13,5415,3,46,2,0
6,13.06,1956,39,73,6,0
6,127.85,10621,31,44,8,0
6,107.45,11103,26,60,0,0
5,124.43,11452,52,64,0,1
9,69.61,7691,71,77,8,0
7,65.09,7633,9,13,9,0
3,15.2,9516,13,8,1,0
7,89.9,6689,2,30,8,0
9,134.04,7711,78,65,10,0
9,116.44,3310,42,30,10,0
7,16.23,9631,53,7,2,0
8,102.51,4427,71,47,0,0
8,37.82,4619,19,62,6,0
1,108.53,8379,79,61,5,0
3,146.63,5158,69,53,1,0
8,76.18,2844,25,73,10,0
5,108.44,4400,56,69,10,1
6,63.22,5183,68,9,0,0
1,26.91,7327,83,7,10,0
5,116.82,1366,6,75,7,1
5,85.42,1371,97,42,1,0
9,20.3,5062,10,13,8,0
1,100.76,5020,7,41,8,1
8,28.82,8532,43,16,5,0
6,58.89,8226,80,54,7,0
7,78.59,6494,72,12,0,0
5,60.78,4663,75,66,8,0
3,28.56,8041,80,9,10,0
5,64.29,5197,10,0,0,0
5,19.25,5327,82,70,5,0
3,27.99,4486,19,79,0,0
9,68.82,5922,21,30,2,0
7,65.32,8306,63,27,3,0
3,62.16,11153,80,51,8,1
4,41.16,4810,41,21,1,0
10,76.24,9394,96,61,0,1
9,84.57,7187,44,24,6,0
3,85.28,8197,44,25,2,0
3,96.4,10100,39,9,9,0
1,123.24,7203,10,15,3,0
3,31.0,5384,6,63,6,0
8,96.96,11605,19,43,7,0
8,97.8,9754,85,29,1,0
5,24.14,2888,92,55,0,0
10,96.49,11926,78,57,2,0
7,92.79,6863,95,30,6,0
7,38.95,11798,11,40,0,0
5,110.97,10892,94,77,3,0
10,17.0,10464,12,31,2,0
3,35.89,3327,74,74,3,0
10,10.64,3998,35,23,7,0
5,64.08,6547,76,8,6,0
10,127.81,2495,96,18,3,0
5,77.79,5615,38,10,1,0
4,21.68,7649,86,15,2,0
7,124.01,10935,57,68,0,0
10,18.9,1307,20,44,2,0
8,58.4,5735,62,30,9,0
3,56.71,5870,97,61,8,0
6,38.58,11980,87,72,3,0
10,128.56,7397,86,35,4,0
1,133.91,8898,10,52,4,0
1,37.38,8347,29,57,8,0
8,10.19,8504,81,17,8,0
8,113.41,6052,0,56,6,0
8,11.0,10608,51,23,1,0
2,101.2,11131,98,29,0,0
2,99.26,4625,81,26,10,1
8,15.99,5984,50,3,8,0
6,95.28,10123,11,21,6,0
2,80.08,2540,14,46,4,0
3,93.4,6951,6,49,3,1
9,15.18,5930,96,64,1,0
8,112.77,3535,99,32,10,0
7,50.85,3517,94,51,9,1
2,16.88,9329,4,24,1,0
6,29.19,8740,44,61,1,0
9,146.85,7466,18,76,3,0
8,89.24,4280,6,23,4,0
8,14.48,7919,47,56,3,0
3,22.97,3536,26,55,7,0
3,31.14,10135,98,4,0,0
1,128.06,10314,31,66,1,0
4,144.53,5224,54,32,5,0
2,138.71,2768,71,8,9,0
1,43.98,3414,47,11,6,0
2,133.57,11072,95,74,3,0
5,36.12,1257,14,49,9,1
1,98.95,11130,4,71,10,0
4,54.88,10562,8,8,9,0
1,40.15,9426,18,77,6,0
4,123.1,7985,45,34,4,0
6,66.18,3431,18,17,6,0
4,61.52,5236,56,44,5,0
2,29.01,11190,58,74,3,0
7,26.52,9485,4,8,9,0
4,57.04,5752,42,78,6,0
6,95.03,11007,12,52,10,0
1,111.39,11012,52,63,5,1
1,111.88,2838,56,27,0,0
10,38.23,9465,43,60,5,0
9,107.03,5192,27,22,10,0
3,53.9,10727,9,23,8,0
9,24.52,1008,45,69,6,1
10,74.95,1645,76,65,1,0
7,136.01,6407,11,8,9,0
8,138.71,3294,10,73,10,0
7,56.05,9776,78,19,7,0
10,28.4,5901,33,51,9,1
4,64.45,6536,1,15,4,0
10,23.69,2213,38,56,0,0
4,59.57,2638,78,6,7,0
6,88.83,7076,28,26,1,0
8,111.65,6720,68,70,1,0
3,143.59,1543,13,30,7,0
6,89.83,10983,11,79,7,0
8,43.71,11324,49,31,10,0
5,34.34,5372,37,17,2,0
5,108.8,8942,45,36,6,0
5,61.66,7163,79,32,9,0
8,138.9,4148,46,42,3,0
9,31.67,7412,90,47,10,0
7,74.87,1583,91,22,4,1
10,121.21,8363,73,58,1,0
2,107.04,5007,11,9,4,0
3,144.79,10478,65,63,6,0
10,76.64,3357,55,12,8,0
6,89.58,11544,13,14,7,0
4,71.89,2650,81,3,10,0
7,90.81,1577,87,36,10,0
1,122.55,7536,81,7,4,0
7,62.5,2650,68,44,8,0
6,146.31,9448,0,9,10,0
9,137.27,5110,1,78,8,0
8,113.19,10163,86,59,5,0
8,38.99,5012,91,54,6,0
1,139.92,2117,93,27,9,0
10,57.97,10763,75,9,5,0
9,72.92,5542,12,48,7,0
4,133.63,9602,49,74,2,0
2,122.88,7890,72,72,9,1
3,137.16,4287,14,44,6,0
2,45.03,2555,20,56,9,0
8,45.56,10437,92,36,4,0
1,97.36,10529,51,2,9,0
5,12.3,9786,50,66,10,0
1,51.36,11832,82,42,9,0
9,149.39,5101,88,70,4,0
5,104.4,10614,76,54,8,1
10,92.37,2014,89,14,2,0
1,146.78,4199,32,11,10,0
1,29.67,6089,73,14,5,0
5,98.37,3133,99,10,6,0
1,72.71,9003,24,37,9,0
7,90.01,3329,77,41,6,1
3,66.37,6840,19,24,4,0
7,112.69,7934,69,18,2,0
9,29.07,5836,54,60,10,1
10,48.45,3962,34,29,0,0
9,147.34,6412,45,71,10,1
2,131.28,3585,33,5,5,0
6,95.17,9547,25,35,7,0
7,147.11,9637,51,79,5,0
10,38.27,8228,67,75,6,0
6,113.75,8541,93,33,6,0
9,122.76,7514,42,7,3,0
8,99.48,10193,86,38,8,0
1,50.59,2553,34,48,1,0
6,99.03,5245,61,26,4,0
8,56.36,5068,68,73,1,0
5,114.0,2246,35,69,6,1
2,128.26,4532,8,12,9,0
9,59.61,11011,45,34,6,0
3,139.88,10803,9,34,3,0
8,78.34,7351,83,39,6,0
9,70.7,5637,45,30,9,0
9,42.94,1194,84,78,6,0
2,116.3,3918,94,62,1,0
10,84.53,3459,6,42,4,0
8,86.89,7995,25,73,4,0
6,39.04,7114,21,23,6,0
6,134.82,3130,100,33,1,0
3,129.12,11347,25,55,5,0
8,103.82,10150,55,57,9,1
4,89.94,5282,91,78,2,0
4,119.3,11701,88,51,2,1
4,143.33,11395,38,37,2,0
1,90.76,3639,97,10,4,0
1,20.91,2180,44,44,2,0
5,134.63,3000,68,39,8,0
2,116.88,3743,40,15,3,0
10,37.47,1320,52,77,8,1
1,117.91,9937,6,9,2,0
8,98.23,7676,48,47,3,0
9,74.06,2308,40,17,3,0
7,45.73,4863,33,71,5,0
9,39.29,7445,84,2,2,0
9,58.48,1877,6,12,9,0
10,19.83,3167,89,61,0,0
10,14.4,11038,15,9,8,0
3,82.09,6341,81,77,2,0
6,50.68,5770,7,33,1,0
7,92.9,4593,85,75,10,0
8,100.19,1727,57,72,1,1
7,108.12,8443,38,18,4,0
8,32.19,6310,10,17,8,0
3,120.43,10749,36,77,3,0
3,25.99,5208,100,13,4,0
1,59.93,1886,20,38,0,0
2,31.21,9870,45,75,0,0
5,141.27,2282,43,71,5,0
1,84.87,2288,90,31,6,1
8,69.78,2596,83,22,9,0
1,33.17,8265,67,39,2,0
10,22.2,7767,53,27,6,0
2,14.2,3736,41,9,9,0
1,29.91,6857,36,0,9,0
1,124.03,8376,55,38,1,0
9,49.34,9917,1,77,8,0
8,101.79,7615,31,66,2,0
3,141.25,7114,58,30,8,1
4,115.22,8047,13,69,5,0
1,32.28,10601,60,21,7,0
10,33.14,3936,40,35,6,0
7,79.47,4273,72,47,1,0
2,54.15,3422,82,23,2,0
2,17.71,2477,19,80,4,0
5,124.62,3507,20,70,7,0
5,43.88,3918,14,53,1,0
2,80.2,2253,32,72,0,0
6,135.18,4726,99,73,5,0
4,33.58,4495,40,51,7,0
8,103.02,8273,62,21,6,0
6,45.54,7230,86,33,8,0
9,34.0,9320,19,53,9,0
7,49.85,3942,63,42,5,0
2,149.67,10596,36,13,10,0
4,92.25,8719,14,32,2,0
2,18.78,10799,36,79,10,0
4,75.82,10860,0,36,6,0
1,114.74,11350,96,63,10,1
10,26.63,1784,55,36,2,0
10,61.69,2866,54,52,2,0
3,111.72,1191,47,80,5,0
6,105.52,3042,60,6,5,0
6,93.0,8066,85,6,7,0
4,138.17,8580,32,36,9,0
10,146.64,6496,57,15,5,0
4,119.72,10880,74,21,3,0
8,60.31,2506,1,10,7,0
3,78.42,11564,24,13,2,0
2,114.34,7897,96,43,1,0
5,80.88,2020,58,76,0,1
8,26.78,2272,99,42,10,0
2,76.66,2191,79,78,1,0
7,113.87,5442,65,48,7,0
2,57.11,2041,8,47,7,0
1,146.57,2714,49,36,5,0
4,19.64,7614,99,71,0,0
4,15.41,4649,5,7,5,0
2,84.69,6124,19,20,3,0
10,134.31,6442,14,38,1,0
7,129.23,8460,80,57,1,1
7,79.14,11634,80,37,5,0
9,34.87,8166,18,55,4,1
10,20.7,6302,76,43,8,0
6,112.83,11298,34,1,7,0
5,84.34,7434,48,37,1,0
6,22.12,5621,26,70,0,0
9,30.57,10883,85,52,0,0
7,99.15,9838,33,66,1,0
2,52.36,8290,84,10,3,0
6,149.54,3200,30,24,4,0
7,70.19,11031,45,61,10,1
5,106.46,2413,17,17,7,0
7,91.09,9603,72,37,3,0
6,89.37,11423,98,67,2,0
1,129.95,1597,59,43,9,1
6,91.86,11068,25,18,1,0
6,38.82,1601,19,9,4,0
4,35.0,11886,44,53,6,0
5,102.69,1724,37,33,3,0
8,116.45,11704,71,65,7,0
9,20.1,11451,93,3,5,0
6,64.17,1263,34,74,10,1
9,56.15,11434,23,68,3,0
6,58.85,9476,61,24,0,0
3,55.86,1323,45,76,10,0
8,54.25,1424,23,13,5,0
2,29.26,3120,53,17,10,1
4,77.39,4819,100,39,4,0
7,92.26,11464,58,73,5,0
5,83.57,2619,38,35,8,0
4,121.68,6899,80,28,4,0
10,47.96,7762,85,79,0,0
1,62.01,8937,91,39,8,0
2,89.92,11087,60,71,3,0
7,85.9,11503,24,6,7,0
5,74.32,4158,13,31,5,0
9,108.72,8018,35,12,5,0
6,67.17,9821,54,52,10,0
4,55.32,10448,37,4,6,0
5,27.05,7061,15,29,10,0
6,73.58,9954,85,19,8,0
1,117.63,8848,63,32,10,0
9,74.25,6716,53,55,9,0
2,38.49,7459,76,12,5,0
7,26.06,5111,97,73,3,0
9,96.18,4916,72,48,0,0
6,127.36,5467,67,59,3,0
3,54.1,11372,54,13,3,0
2,33.18,7790,33,47,3,0
5,75.39,11566,73,67,5,0
1,40.08,11991,70,20,2,0
1,66.46,5748,71,46,8,0
5,85.04,10307,27,27,7,0
3,53.05,11512,99,76,2,0
1,114.92,11627,40,7,9,0
7,32.51,2379,9,51,8,1
5,105.2,4404,16,19,10,0
8,112.7,5210,48,35,0,0
4,100.32,5906,63,61,2,0
3,41.89,1434,65,16,7,0
9,54.68,3529,33,73,7,0
8,36.38,1779,59,31,2,0
3,54.89,5701,89,71,4,0
6,101.09,7088,35,46,5,0
1,100.72,2634,38,77,8,0
10,105.0,2294,62,71,3,0
3,128.98,5589,44,56,1,0
8,50.58,11412,51,69,1,0
10,72.68,4030,7,60,3,0
8,106.72,1155,76,61,5,0
3,133.1,1510,25,59,2,0
4,118.48,10975,86,21,3,0
10,138.53,10469,49,78,3,0
10,59.99,7101,73,16,7,1
9,97.11,9484,28,72,10,0
1,105.48,4059,89,65,9,0
2,69.51,4551,31,33,5,0
5,39.47,5622,70,79,7,0
6,149.66,2736,43,21,6,0
7,45.36,3313,100,14,5,0
4,32.54,7221,91,22,7,0
9,132.72,4077,43,57,6,0
7,87.87,2446,49,0,4,0
1,73.71,8340,40,29,0,0
6,73.96,10033,68,0,8,0
9,81.6,8521,68,68,4,0
10,142.41,7692,10,28,6,0
9,48.42,7152,42,44,5,0
8,75.58,2873,64,75,5,0
7,90.61,5404,6,44,1,0
8,87.24,3504,70,24,9,0
5,41.98,5837,55,67,7,0
10,148.76,4246,100,6,5,0
1,136.17,4074,96,47,2,0
10,149.68,10953,79,35,5,1
8,109.64,6402,19,71,3,0
9,86.49,11896,69,32,7,0
2,122.9,8956,83,50,6,1
9,38.06,4664,9,47,3,0
7,50.58,10030,63,48,5,0
5,128.05,5898,51,38,10,0
5,138.17,7321,15,17,9,0
7,53.32,3567,95,2,8,0
10,106.29,7327,18,77,4,0
5,124.6,1947,34,79,8,1
7,109.58,2330,63,23,4,1
7,49.64,9624,14,51,3,0
4,121.95,2295,98,42,2,1
3,131.71,9862,44,47,1,0
2,146.58,4975,58,52,6,0
8,110.37,10712,72,13,3,0
4,17.47,10251,66,9,8,0
4,29.01,9104,43,46,5,0
2,130.62,5324,3,2,4,0
6,95.39,8077,70,12,3,0
7,67.35,7307,69,49,2,0
4,12.54,1824,100,78,5,1
6,140.8,5351,49,15,4,0
9,20.8,6231,83,16,10,0
9,133.41,6132,98,1,2,0
3,133.65,10207,32,50,7,0
3,86.68,2775,21,21,9,0
7,44.28,2399,15,51,8,0
4,137.16,1182,12,18,1,0
1,55.14,7417,42,25,6,0
9,62.02,3685,93,13,2,0
8,80.3,10442,33,77,4,0
1,53.59,6422,55,71,4,1
6,102.3,7532,48,17,5,0
9,39.29,2122,63,14,10,0
1,17.12,11719,33,42,0,0
4,18.0,7175,53,13,9,0
4,114.18,4271,48,18,6,0
6,32.09,8048,21,21,6,0
2,32.66,6785,90,65,5,0
6,120.68,1408,25,60,1,0
6,117.03,9202,70,52,5,1
1,25.57,9694,84,61,2,0
4,54.95,7567,89,33,6,0
4,58.62,11620,95,52,4,0
6,140.14,10752,64,7,8,0
8,140.0,4817,12,36,4,0
8,68.06,4129,58,51,2,0
5,96.05,3694,54,1,8,0
6,97.94,4508,45,41,1,0
8,75.99,8074,80,18,9,0
10,51.91,4760,25,25,10,0
5,138.06,8536,14,7,9,0
2,70.08,8277,80,51,7,0
10,84.74,4183,55,43,2,1
6,61.72,8024,47,52,3,0
7,23.94,7213,34,26,4,0
3,71.26,10200,51,47,6,0
3,101.71,2124,94,33,0,0
8,28.07,3730,84,60,4,0
10,137.14,4757,86,15,3,1
8,97.36,2961,25,2,1,0
10,120.13,2077,26,41,3,0
3,79.39,1558,17,5,2,0
1,49.98,6339,90,22,8,0
4,97.72,10491,17,16,0,0
10,136.79,9305,62,3,3,0
8,42.98,3529,21,8,9,0
7,101.29,6616,35,55,0,0
2,63.4,4877,13,77,10,0
10,101.76,10402,74,10,7,0
4,125.05,3098,69,27,9,0
4,137.81,8402,94,32,9,0
2,133.42,2118,63,16,6,1
5,85.01,2236,32,5,0,0
3,107.61,2077,74,8,10,0
3,28.9,8550,89,42,3,0
6,70.83,6179,19,72,5,0
9,71.61,3479,59,14,3,0
3,89.18,3183,12,65,1,0
8,138.05,10867,7,47,4,0
6,39.77,9887,85,56,9,1
8,78.51,5349,77,67,6,0
1,100.94,11163,25,30,5,0
6,119.59,3898,38,1,0,0
6,124.56,4266,38,32,1,0
8,83.65,1315,4,76,9,0
10,71.8,8193,39,28,5,0
2,21.68,4115,84,6,4,0
5,47.68,2749,95,64,4,0
8,110.05,2123,87,52,8,1
10,11.34,6336,98,31,6,0
9,14.7,9823,66,66,6,0
8,79.65,5696,39,43,9,0
1,64.18,4448,68,60,6,1
10,80.26,6194,2,10,6,0
1,99.54,1262,12,53,7,0
4,100.88,7823,10,69,2,0
4,108.89,11965,74,75,0,0
4,74.26,7753,94,50,2,0
5,125.2,10390,44,40,8,0
